EVENT_DATE,EVENT_NAME,EVENT_TYPE,IMPACT_CATEGORIES,EXPECTED_SALES_IMPACT
2024-08-15,광복절,국경일,"간편식,음료",+30%
2024-09-09,빼빼로데이 사전,기념일,빼빼로,+200%
2024-09-10,추석연휴,명절,"선물세트,과일,한과",+100%
2024-10-03,개천절,국경일,"간편식,음료",+30%
2024-10-09,한글날,국경일,"간편식,음료",+20%
2024-10-31,할로윈,기념일,"과자,사탕",+150%
2024-11-11,빼빼로데이,기념일,"빼빼로,초콜릿",+800%
2024-11-18,대학수학능력시험,시험,"엿,찹쌀떡,초콜릿,간편식",+300%
2024-12-24,크리스마스이브,기념일,"케이크,와인,샴페인",+300%
2024-12-25,크리스마스,기념일,"케이크,와인,음료",+200%
2024-12-31,연말,기념일,"주류,안주",+150%
2025-01-01,신정,국경일,"주류,간편식",+50%
2025-01-19,설날연휴,명절,"선물세트,과일,한과",+100%
2025-02-14,발렌타인데이,기념일,"초콜릿,사탕",+500%
2025-02-22,설날연휴,명절,"선물세트,과일,한과",+100%
2025-03-01,삼일절,국경일,"간편식,음료",+30%
2025-03-14,화이트데이,기념일,"사탕,초콜릿",+400%
2025-05-05,어린이날,국경일,"과자,음료,아이스크림",+100%
2025-05-15,스승의날,기념일,"꽃,카드,초콜릿",+300%
2025-06-06,현충일,국경일,"간편식,음료",+20%
2025-08-15,광복절,국경일,"간편식,음료",+30%
2025-09-09,빼빼로데이 사전,기념일,빼빼로,+200%
2025-09-21,추석연휴,명절,"선물세트,과일,한과",+100%
2025-10-03,개천절,국경일,"간편식,음료",+30%
2025-10-09,한글날,국경일,"간편식,음료",+20%
2025-10-31,할로윈,기념일,"과자,사탕",+150%
2025-11-11,빼빼로데이,기념일,"빼빼로,초콜릿",+800%
2025-11-14,대학수학능력시험,시험,"엿,찹쌀떡,초콜릿,간편식",+300%
2025-12-24,크리스마스이브,기념일,"케이크,와인,샴페인",+300%
2025-12-25,크리스마스,기념일,"케이크,와인,음료",+200%
2025-12-31,연말,기념일,"주류,안주",+150%
