PRODUCT_ID,PRODUCT_NAME,CATEGORY_L1,CATEGORY_L2,UNIT_PRICE,UNIT_COST,IS_SEASONAL
P00001,탄산_1,음료,탄산,500.00,324.00,False
P00002,탄산_2,음료,탄산,1200.00,653.00,False
P00003,탄산_3,음료,탄산,5000.00,2602.00,False
P00004,탄산_4,음료,탄산,5000.00,3392.00,False
P00005,탄산_5,음료,탄산,800.00,494.00,False
P00006,탄산_6,음료,탄산,500.00,252.00,False
P00007,탄산_7,음료,탄산,1200.00,655.00,False
P00008,탄산_8,음료,탄산,4000.00,2021.00,False
P00009,탄산_9,음료,탄산,1200.00,771.00,False
P00010,커피_1,음료,커피,1200.00,707.00,False
P00011,커피_2,음료,커피,1500.00,992.00,False
P00012,커피_3,음료,커피,500.00,325.00,False
P00013,커피_4,음료,커피,1000.00,639.00,False
P00014,커피_5,음료,커피,2000.00,1111.00,False
P00015,커피_6,음료,커피,1200.00,829.00,False
P00016,커피_7,음료,커피,2000.00,1040.00,False
P00017,커피_8,음료,커피,2500.00,1298.00,False
P00018,커피_9,음료,커피,7000.00,3981.00,False
P00019,커피_10,음료,커피,1500.00,992.00,False
P00020,커피_11,음료,커피,5000.00,2959.00,False
P00021,커피_12,음료,커피,800.00,555.00,False
P00022,커피_13,음료,커피,2500.00,1289.00,False
P00023,커피_14,음료,커피,1500.00,998.00,False
P00024,차_1,음료,차,4000.00,2153.00,False
P00025,차_2,음료,차,800.00,407.00,False
P00026,차_3,음료,차,1200.00,785.00,False
P00027,차_4,음료,차,800.00,536.00,False
P00028,차_5,음료,차,7000.00,3641.00,False
P00029,차_6,음료,차,1500.00,886.00,False
P00030,차_7,음료,차,7000.00,4010.00,False
P00031,차_8,음료,차,2000.00,1142.00,False
P00032,차_9,음료,차,4500.00,2490.00,False
P00033,차_10,음료,차,8000.00,5093.00,False
P00034,차_11,음료,차,800.00,497.00,False
P00035,차_12,음료,차,1000.00,606.00,False
P00036,차_13,음료,차,1200.00,639.00,False
P00037,주스_1,음료,주스,1500.00,1046.00,False
P00038,주스_2,음료,주스,4500.00,2869.00,False
P00039,주스_3,음료,주스,1200.00,764.00,False
P00040,주스_4,음료,주스,7000.00,4575.00,False
P00041,주스_5,음료,주스,500.00,272.00,False
P00042,주스_6,음료,주스,500.00,330.00,False
P00043,주스_7,음료,주스,2500.00,1383.00,False
P00044,주스_8,음료,주스,1200.00,819.00,False
P00045,주스_9,음료,주스,4000.00,2701.00,False
P00046,주스_10,음료,주스,2000.00,1085.00,False
P00047,주스_11,음료,주스,3000.00,1737.00,False
P00048,주스_12,음료,주스,8000.00,5028.00,False
P00049,주스_13,음료,주스,1000.00,552.00,False
P00050,주스_14,음료,주스,1200.00,778.00,False
P00051,생수_1,음료,생수,5000.00,3084.00,False
P00052,생수_2,음료,생수,8000.00,4933.00,False
P00053,생수_3,음료,생수,2000.00,1087.00,False
P00054,생수_4,음료,생수,1000.00,601.00,False
P00055,생수_5,음료,생수,800.00,520.00,False
