STORE_ID,STORE_NAME,REGION,STORE_TYPE,OPEN_DATE
S0001,Snow25_서울_1호점,서울,오피스,2021-08-29
S0002,Snow25_서울_2호점,서울,오피스,2022-01-09
S0003,Snow25_서울_3호점,서울,오피스,2021-09-11
S0004,Snow25_서울_4호점,서울,역세권,2023-12-21
S0005,Snow25_서울_5호점,서울,병원,2020-09-16
S0006,Snow25_서울_6호점,서울,주거지,2020-04-03
S0007,Snow25_서울_7호점,서울,역세권,2023-02-07
S0008,Snow25_서울_8호점,서울,주거지,2023-11-29
S0009,Snow25_서울_9호점,서울,오피스,2023-07-30
S0010,Snow25_서울_10호점,서울,대학가,2020-07-29
S0011,Snow25_서울_11호점,서울,역세권,2023-03-21
S0012,Snow25_경기_1호점,경기,대학가,2022-09-07
S0013,Snow25_경기_2호점,경기,대학가,2021-11-28
S0014,Snow25_경기_3호점,경기,오피스,2020-04-15
S0015,Snow25_경기_4호점,경기,주거지,2022-09-05
S0016,Snow25_경기_5호점,경기,역세권,2020-05-13
S0017,Snow25_경기_6호점,경기,대학가,2022-10-04
S0018,Snow25_경기_7호점,경기,역세권,2023-03-27
S0019,Snow25_경기_8호점,경기,역세권,2020-11-06
S0020,Snow25_경기_9호점,경기,오피스,2023-02-26
S0021,Snow25_경기_10호점,경기,주거지,2020-06-23
S0022,Snow25_경기_11호점,경기,오피스,2020-08-30
S0023,Snow25_경기_12호점,경기,병원,2022-05-02
S0024,Snow25_경기_13호점,경기,병원,2023-05-05
S0025,Snow25_경기_14호점,경기,병원,2021-04-07
S0026,Snow25_인천_1호점,인천,대학가,2022-07-11
S0027,Snow25_인천_2호점,인천,대학가,2021-08-31
S0028,Snow25_인천_3호점,인천,병원,2022-05-28
S0029,Snow25_인천_4호점,인천,주거지,2023-03-10
S0030,Snow25_인천_5호점,인천,병원,2020-05-03
S0031,Snow25_인천_6호점,인천,병원,2020-07-22
S0032,Snow25_인천_7호점,인천,오피스,2023-07-05
S0033,Snow25_인천_8호점,인천,오피스,2021-06-25
S0034,Snow25_인천_9호점,인천,역세권,2020-11-17
S0035,Snow25_인천_10호점,인천,오피스,2020-12-21
S0036,Snow25_인천_11호점,인천,병원,2020-06-02
S0037,Snow25_인천_12호점,인천,오피스,2020-01-06
S0038,Snow25_인천_13호점,인천,대학가,2022-07-11
S0039,Snow25_인천_14호점,인천,병원,2022-08-20
S0040,Snow25_인천_15호점,인천,주거지,2020-03-07
S0041,Snow25_인천_16호점,인천,오피스,2021-08-13
S0042,Snow25_인천_17호점,인천,주거지,2023-12-10
S0043,Snow25_인천_18호점,인천,대학가,2020-05-25
S0044,Snow25_부산_1호점,부산,오피스,2021-06-25
S0045,Snow25_부산_2호점,부산,병원,2023-09-16
S0046,Snow25_부산_3호점,부산,오피스,2022-05-20
S0047,Snow25_부산_4호점,부산,역세권,2023-01-20
S0048,Snow25_부산_5호점,부산,오피스,2023-08-19
S0049,Snow25_부산_6호점,부산,오피스,2021-06-28
S0050,Snow25_부산_7호점,부산,오피스,2020-05-26
S0051,Snow25_부산_8호점,부산,역세권,2020-12-05
S0052,Snow25_부산_9호점,부산,주거지,2023-05-03
S0053,Snow25_부산_10호점,부산,병원,2021-08-14
S0054,Snow25_부산_11호점,부산,대학가,2020-09-11
S0055,Snow25_부산_12호점,부산,대학가,2023-11-11
S0056,Snow25_부산_13호점,부산,주거지,2023-12-04
S0057,Snow25_부산_14호점,부산,대학가,2021-07-11
S0058,Snow25_부산_15호점,부산,병원,2023-01-10
S0059,Snow25_부산_16호점,부산,대학가,2022-06-15
S0060,Snow25_부산_17호점,부산,역세권,2023-05-09
S0061,Snow25_부산_18호점,부산,역세권,2022-06-03
S0062,Snow25_부산_19호점,부산,주거지,2023-05-21
