WEATHER_DATE,REGION,TEMPERATURE,WEATHER_CONDITION,HUMIDITY,PRECIPITATION
2024-07-01,경기,33.3,비,88.8,7.3
2024-07-01,광주,27.8,더움,47.9,0.0
2024-07-01,대구,27.8,더움,77.4,0.0
2024-07-01,대전,28.4,비,77.3,8.0
2024-07-01,부산,30.1,흐림,82.8,0.0
2024-07-01,서울,27.9,흐림,72.3,0.0
2024-07-01,인천,26.4,흐림,41.4,0.0
2024-07-02,경기,29.5,더움,59.1,0.0
2024-07-02,광주,28.9,비,69.8,24.6
2024-07-02,대구,27.3,비,76.5,1.3
2024-07-02,대전,29.7,흐림,84.8,0.0
2024-07-02,부산,33.7,비,88.8,7.2
2024-07-02,서울,30.8,흐림,69.6,0.0
2024-07-02,인천,30.5,비,62.6,13.7
2024-07-03,경기,34.7,흐림,49.9,0.0
2024-07-03,광주,28.4,비,71.6,19.5
2024-07-03,대구,29.1,더움,69.3,0.0
2024-07-03,대전,25.7,더움,76.9,0.0
2024-07-03,부산,34.1,흐림,30.9,0.0
2024-07-03,서울,30.0,더움,32.2,0.0
2024-07-03,인천,33.7,더움,56.4,0.0
2024-07-04,경기,31.3,비,83.2,14.6
2024-07-04,광주,29.4,더움,71.6,0.0
2024-07-04,대구,32.5,더움,56.0,0.0
2024-07-04,대전,32.6,더움,72.2,0.0
2024-07-04,부산,31.8,흐림,47.2,0.0
2024-07-04,서울,33.5,비,81.6,11.4
2024-07-04,인천,25.4,흐림,34.1,0.0
2024-07-05,경기,28.6,비,55.8,7.3
2024-07-05,광주,27.6,비,30.6,24.1
2024-07-05,대구,27.4,흐림,84.8,0.0
2024-07-05,대전,27.3,더움,68.3,0.0
2024-07-05,부산,31.1,더움,53.0,0.0
2024-07-05,서울,25.5,더움,77.8,0.0
2024-07-05,인천,30.7,비,77.6,5.1
2024-07-06,경기,34.9,비,47.9,28.9
2024-07-06,광주,34.8,더움,69.5,0.0
2024-07-06,대구,27.4,더움,64.3,0.0
2024-07-06,대전,28.0,흐림,72.0,0.0
2024-07-06,부산,35.0,더움,81.2,0.0
2024-07-06,서울,31.8,비,39.5,13.3
2024-07-06,인천,27.5,흐림,80.7,0.0
2024-07-07,경기,34.1,더움,74.7,0.0
2024-07-07,광주,31.5,흐림,48.5,0.0
2024-07-07,대구,32.6,흐림,76.0,0.0
2024-07-07,대전,33.4,흐림,67.7,0.0
2024-07-07,부산,31.4,더움,67.3,0.0
2024-07-07,서울,25.1,비,81.9,23.3
2024-07-07,인천,32.8,비,43.8,24.1
2024-07-08,경기,28.3,비,54.9,6.0
2024-07-08,광주,26.4,더움,88.0,0.0
2024-07-08,대구,34.1,비,86.7,29.0
2024-07-08,대전,32.5,비,50.3,3.5
2024-07-08,부산,34.1,흐림,79.8,0.0
2024-07-08,서울,25.3,비,51.9,3.9
2024-07-08,인천,33.8,흐림,52.0,0.0
2024-07-09,경기,28.7,흐림,77.4,0.0
2024-07-09,광주,28.3,흐림,66.6,0.0
2024-07-09,대구,34.4,흐림,36.5,0.0
2024-07-09,대전,29.7,더움,67.2,0.0
2024-07-09,부산,31.7,비,70.3,17.5
2024-07-09,서울,32.2,흐림,88.8,0.0
2024-07-09,인천,27.6,더움,37.4,0.0
2024-07-10,경기,28.0,흐림,54.5,0.0
2024-07-10,광주,33.9,더움,69.3,0.0
2024-07-10,대구,29.5,비,70.2,22.3
2024-07-10,대전,29.2,흐림,74.5,0.0
2024-07-10,부산,26.2,비,44.1,16.1
2024-07-10,서울,25.6,흐림,79.4,0.0
2024-07-10,인천,25.5,더움,32.2,0.0
2024-07-11,경기,28.7,흐림,56.6,0.0
2024-07-11,광주,25.9,비,42.7,19.2
2024-07-11,대구,28.6,흐림,53.9,0.0
2024-07-11,대전,34.7,더움,86.9,0.0
2024-07-11,부산,28.7,흐림,84.1,0.0
2024-07-11,서울,31.2,비,86.3,8.4
2024-07-11,인천,33.6,더움,36.0,0.0
2024-07-12,경기,32.9,더움,42.3,0.0
2024-07-12,광주,26.1,더움,82.0,0.0
2024-07-12,대구,25.0,흐림,81.5,0.0
2024-07-12,대전,34.9,더움,62.4,0.0
2024-07-12,부산,28.3,더움,38.9,0.0
2024-07-12,서울,25.5,더움,50.0,0.0
2024-07-12,인천,27.1,흐림,43.0,0.0
2024-07-13,경기,30.9,더움,30.9,0.0
2024-07-13,광주,30.2,흐림,57.5,0.0
2024-07-13,대구,30.1,비,36.5,15.1
2024-07-13,대전,25.4,흐림,77.0,0.0
2024-07-13,부산,25.6,흐림,56.9,0.0
2024-07-13,서울,25.1,더움,77.4,0.0
2024-07-13,인천,25.5,비,74.5,15.8
2024-07-14,경기,29.3,비,36.5,21.4
2024-07-14,광주,29.3,흐림,77.6,0.0
2024-07-14,대구,30.5,흐림,49.5,0.0
2024-07-14,대전,30.3,흐림,57.2,0.0
2024-07-14,부산,26.3,더움,67.5,0.0
2024-07-14,서울,25.6,더움,58.7,0.0
2024-07-14,인천,25.7,비,34.8,18.2
2024-07-15,경기,32.2,흐림,42.9,0.0
2024-07-15,광주,25.9,더움,35.8,0.0
2024-07-15,대구,27.5,흐림,87.2,0.0
2024-07-15,대전,34.2,흐림,34.0,0.0
2024-07-15,부산,29.2,비,35.7,12.8
2024-07-15,서울,33.5,더움,69.1,0.0
2024-07-15,인천,33.9,비,54.8,24.8
2024-07-16,경기,30.9,더움,63.7,0.0
2024-07-16,광주,33.5,더움,51.0,0.0
2024-07-16,대구,28.1,흐림,36.2,0.0
2024-07-16,대전,27.1,흐림,69.4,0.0
2024-07-16,부산,33.7,비,73.3,29.1
2024-07-16,서울,28.7,흐림,37.8,0.0
2024-07-16,인천,31.7,비,54.6,26.2
2024-07-17,경기,27.3,흐림,55.7,0.0
2024-07-17,광주,28.5,비,40.9,4.3
2024-07-17,대구,34.3,흐림,79.8,0.0
2024-07-17,대전,25.3,비,46.4,22.9
2024-07-17,부산,31.7,흐림,63.4,0.0
2024-07-17,서울,28.7,흐림,75.8,0.0
2024-07-17,인천,34.7,흐림,79.1,0.0
2024-07-18,경기,34.7,흐림,35.5,0.0
2024-07-18,광주,25.8,흐림,56.6,0.0
2024-07-18,대구,31.0,흐림,83.0,0.0
2024-07-18,대전,26.6,더움,67.1,0.0
2024-07-18,부산,26.6,비,48.7,9.7
2024-07-18,서울,29.0,흐림,38.5,0.0
2024-07-18,인천,27.2,흐림,55.2,0.0
2024-07-19,경기,26.1,흐림,55.8,0.0
2024-07-19,광주,25.1,더움,74.8,0.0
2024-07-19,대구,27.0,더움,86.7,0.0
2024-07-19,대전,32.6,더움,47.4,0.0
2024-07-19,부산,25.5,비,53.7,18.0
2024-07-19,서울,29.9,비,56.5,8.2
2024-07-19,인천,31.8,비,65.6,15.8
2024-07-20,경기,30.0,더움,80.0,0.0
2024-07-20,광주,33.0,더움,67.1,0.0
2024-07-20,대구,30.8,비,64.4,21.3
2024-07-20,대전,27.9,비,54.3,29.0
2024-07-20,부산,29.6,더움,34.7,0.0
2024-07-20,서울,26.3,더움,62.0,0.0
2024-07-20,인천,25.7,비,81.7,1.3
2024-07-21,경기,27.4,더움,65.3,0.0
2024-07-21,광주,28.5,비,87.5,19.4
2024-07-21,대구,25.8,더움,68.0,0.0
2024-07-21,대전,30.1,흐림,84.4,0.0
2024-07-21,부산,28.4,흐림,50.0,0.0
2024-07-21,서울,34.2,흐림,35.3,0.0
2024-07-21,인천,25.8,흐림,82.2,0.0
2024-07-22,경기,26.7,더움,39.2,0.0
2024-07-22,광주,33.6,비,67.6,4.5
2024-07-22,대구,29.5,흐림,85.4,0.0
2024-07-22,대전,31.4,흐림,89.2,0.0
2024-07-22,부산,29.9,흐림,75.3,0.0
2024-07-22,서울,27.4,더움,38.8,0.0
2024-07-22,인천,25.8,흐림,87.1,0.0
2024-07-23,경기,30.9,비,51.1,2.2
2024-07-23,광주,29.5,더움,78.6,0.0
2024-07-23,대구,31.2,더움,60.4,0.0
2024-07-23,대전,30.8,비,87.3,22.2
2024-07-23,부산,31.4,더움,88.6,0.0
2024-07-23,서울,29.7,더움,67.9,0.0
2024-07-23,인천,29.5,비,33.4,25.0
2024-07-24,경기,26.5,흐림,33.7,0.0
2024-07-24,광주,28.9,비,76.5,20.4
2024-07-24,대구,27.5,더움,56.3,0.0
2024-07-24,대전,30.2,비,66.6,10.9
2024-07-24,부산,25.8,흐림,68.8,0.0
2024-07-24,서울,26.9,흐림,66.3,0.0
2024-07-24,인천,33.1,더움,80.2,0.0
2024-07-25,경기,28.3,더움,63.5,0.0
2024-07-25,광주,32.1,흐림,35.1,0.0
2024-07-25,대구,31.6,흐림,85.0,0.0
2024-07-25,대전,34.7,비,71.9,11.8
2024-07-25,부산,33.7,흐림,50.0,0.0
2024-07-25,서울,32.9,더움,68.8,0.0
2024-07-25,인천,27.8,비,73.4,19.7
2024-07-26,경기,31.7,더움,79.7,0.0
2024-07-26,광주,26.5,더움,47.7,0.0
2024-07-26,대구,25.2,비,48.5,28.5
2024-07-26,대전,34.5,비,59.2,6.8
2024-07-26,부산,31.5,더움,55.4,0.0
2024-07-26,서울,28.8,흐림,77.5,0.0
2024-07-26,인천,35.0,흐림,84.7,0.0
2024-07-27,경기,33.8,흐림,32.3,0.0
2024-07-27,광주,31.1,비,75.1,23.5
2024-07-27,대구,33.1,흐림,39.9,0.0
2024-07-27,대전,25.4,비,51.9,21.6
2024-07-27,부산,26.6,더움,79.9,0.0
2024-07-27,서울,30.1,더움,62.4,0.0
2024-07-27,인천,33.8,비,67.1,17.9
2024-07-28,경기,34.0,비,41.6,20.3
2024-07-28,광주,33.7,비,63.3,3.1
2024-07-28,대구,33.2,더움,78.1,0.0
2024-07-28,대전,33.7,더움,33.1,0.0
2024-07-28,부산,32.8,비,60.2,12.6
2024-07-28,서울,30.3,더움,48.6,0.0
2024-07-28,인천,34.8,흐림,57.7,0.0
2024-07-29,경기,27.7,더움,84.3,0.0
2024-07-29,광주,28.2,더움,35.9,0.0
2024-07-29,대구,29.1,더움,53.8,0.0
2024-07-29,대전,27.4,비,89.7,11.2
2024-07-29,부산,33.2,더움,83.1,0.0
2024-07-29,서울,33.5,흐림,47.1,0.0
2024-07-29,인천,33.3,더움,35.5,0.0
2024-07-30,경기,25.4,더움,85.0,0.0
2024-07-30,광주,27.4,비,37.3,7.2
2024-07-30,대구,33.3,더움,62.9,0.0
2024-07-30,대전,31.1,흐림,55.4,0.0
2024-07-30,부산,31.2,비,84.4,0.6
2024-07-30,서울,31.5,흐림,77.5,0.0
